"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"TenX Systems, LLC d/b/a ResiDex Software","MN","Business Associate","90000","06/07/2019","Hacking/IT Incident","Network Server","Yes",""
"Kingman Healthcare Incorporated","AZ","Healthcare Provider","1100","06/07/2019","Unauthorized Access/Disclosure","Other","No",""
"Elim Care","MN","Healthcare Provider","2500","06/07/2019","Hacking/IT Incident","Network Server","Yes",""
"Worcester Eye Consultants","MA","Healthcare Provider","2634","06/07/2019","Loss","Other","Yes",""
"CAPITOL CARDIOLOGY ASSOCIATES","MD","Healthcare Provider","1980","06/07/2019","Unauthorized Access/Disclosure","Desktop Computer","Yes",""
"SOUTHERN MARYLAND MEDICAL GROUP LLC","MD","Healthcare Provider","1400","06/07/2019","Unauthorized Access/Disclosure","Desktop Computer","Yes",""
"Shingle Springs Health and Wellness Center","CA","Healthcare Provider","21513","06/05/2019","Hacking/IT Incident","Network Server","No",""
"Health Quest Systems, Inc. ","NY","Healthcare Provider","28910","05/31/2019","Hacking/IT Incident","Email","No",""
"City of Georgetown Fire Department","TX","Healthcare Provider","719","05/31/2019","Loss","Other Portable Electronic Device","No",""
"Broome County, New York","NY","Healthcare Provider","7048","05/31/2019","Hacking/IT Incident","Email","No",""
"Cerpassrx, LLC","TX","Health Plan","2513","05/31/2019","Hacking/IT Incident","Email","No",""
"The Union Labor Life Insurance Company","MD","Health Plan","87400","05/31/2019","Hacking/IT Incident","Email","No",""
"Capital City Paincare","OH","Healthcare Provider","1012","05/31/2019","Hacking/IT Incident","Network Server","No",""
"Takai, Hoover, and Hsu, P.A.","MD","Healthcare Provider","16542","05/29/2019","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record","No",""
"Sunshine Family Dentistry","TX","Healthcare Provider","800","05/27/2019","Theft","Network Server","No",""
"Monroe County Hospital","GA","Healthcare Provider","10970","05/25/2019","Hacking/IT Incident","Email","No",""
"Huggins Insurance Services, Inc.","OR","Business Associate","667","05/24/2019","Hacking/IT Incident","Email","Yes",""
"Maranatha Village Inc.","MO","Healthcare Provider","520","05/24/2019","Hacking/IT Incident","Email","No",""
"Healthfirst","NY","Health Plan","1811","05/24/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Talley Medical Surgical Eyecare Associates, PC","IN","Healthcare Provider","106000","05/24/2019","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server","No",""
"Farmacia La Amistad Inc.","","Healthcare Provider","2500","05/24/2019","Hacking/IT Incident","Network Server","No",""
"TriHealth Physician Practices","OH","Healthcare Provider","2433","05/24/2019","Unauthorized Access/Disclosure","Email","No",""
"Mercy Health Saint Mary's","MI","Healthcare Provider","978","05/24/2019","Hacking/IT Incident","Network Server","No",""
"Centura Health","CO","Healthcare Provider","7515","05/22/2019","Hacking/IT Incident","Email","No",""
"Partington Plastic Surgery","WA","Healthcare Provider","9000","05/22/2019","Unauthorized Access/Disclosure","Laptop","No",""
"Northwestern Health Sciences University","MN","Healthcare Provider","1198","05/21/2019","Hacking/IT Incident","Email","No",""
"Hematology Oncology Associates, PC","OR","Healthcare Provider","16073","05/21/2019","Hacking/IT Incident","Email","No",""
"Special Health Resources for Texas, Inc. ","TX","Healthcare Provider","567","05/21/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Acadia Montana Treatment Center","MT","Healthcare Provider","14794","05/17/2019","Hacking/IT Incident","Email","No",""
"Aeroflow Inc.","NC","Healthcare Provider","4450","05/16/2019","Hacking/IT Incident","Network Server","No",""
"Communities Connected for Kids, Inc. ","FL","Business Associate","501","05/15/2019","Hacking/IT Incident","Network Server","Yes",""
"Aging Disability and Transit Services of Rockingham County  ","NC","Healthcare Provider","500","05/15/2019","Hacking/IT Incident","Network Server","No",""
"Youth Opportunity Center, Inc.","IN","Healthcare Provider","1150","05/14/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Health Net, LLC.","CA","Health Plan","2404","05/13/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Professional Dental Alliance of Florida PLLC d/b/a All Smiles Dentistry","FL","Healthcare Provider","1505","05/13/2019","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record","No",""
"Encompass Family and internal medicine group","CA","Healthcare Provider","26000","05/13/2019","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record","No",""
"Memorial Hermann Health System","TX","Healthcare Provider","604","05/13/2019","Unauthorized Access/Disclosure","Electronic Medical Record, Email","No",""
"Midwest Medical Center","IL","Healthcare Provider","8010","05/10/2019","Hacking/IT Incident","Email","Yes",""
"University Medical Center Physicians","TX","Healthcare Provider","3300","05/10/2019","Unauthorized Access/Disclosure","Network Server, Other","No",""
"Cancer Treatment Centers of America® (CTCA) at Southeastern Regional Medical Center","GA","Healthcare Provider","16819","05/10/2019","Hacking/IT Incident","Email","No",""
"Fort HealthCare, Inc.","WI","Healthcare Provider","19000","05/08/2019","Hacking/IT Incident","Email","Yes",""
"UnitedHealth Group Health Plan Single Affiliated Covered Entity","MN","Health Plan","20536","05/08/2019","Unauthorized Access/Disclosure","Other","No",""
"Independent Health Association, Inc.","NY","Health Plan","7605","05/08/2019","Unauthorized Access/Disclosure","Email","No",""
"Inmediata Health Group, Corp.","","Healthcare Clearing House","1565338","05/07/2019","Unauthorized Access/Disclosure","Network Server","No",""
"Hospice Care Plus, Inc.","KY","Healthcare Provider","2000","05/06/2019","Unauthorized Access/Disclosure","Laptop","No",""
"American Indian Health & Services, Inc. ","CA","Healthcare Provider","3784","05/06/2019","Unauthorized Access/Disclosure","Email","No",""
"Community Health Network, Inc.","IN","Healthcare Provider","3600","05/06/2019","Hacking/IT Incident","Email","No",""
"Spectrum Health Lakeland","MI","Healthcare Provider","1100","05/06/2019","Hacking/IT Incident","Email","Yes",""
"American Medical Response, Inc.","TX","Healthcare Provider","4300","05/06/2019","Hacking/IT Incident","Email","Yes",""
"American Baptist Homes of the Midwest","MN","Healthcare Provider","10993","05/06/2019","Hacking/IT Incident","Email, Network Server","No",""
"Kelsey Research Foundation","TX","Business Associate","1228","05/03/2019","Unauthorized Access/Disclosure","Email","Yes",""
"OS, Inc.","WI","Business Associate","7880","05/02/2019","Hacking/IT Incident","Email","Yes",""
"Inspira Behavioral Care, Corp","","Healthcare Provider","4246","05/02/2019","Theft","Desktop Computer","No",""
"The Southeastern Council on Alcoholism and Drug Dependence","CT","Healthcare Provider","25148","05/01/2019","Hacking/IT Incident","Network Server","No",""
"AA OBGYN PLLC","TX","Healthcare Provider","930","04/30/2019","Unauthorized Access/Disclosure","Other","No",""
"The City of Fort Lauderdale","FL","Health Plan","757","04/29/2019","Unauthorized Access/Disclosure","Other","No",""
"Partners In Care","OR","Healthcare Provider","3048","04/26/2019","Hacking/IT Incident","Email","No",""
"Medical Oncology Hematology Consultants, PA","DE","Healthcare Provider","8591","04/26/2019","Hacking/IT Incident","Email","No",""
"Health Care Service Corporation","IL","Health Plan","676","04/24/2019","Unauthorized Access/Disclosure","Other Portable Electronic Device","No",""
"Logansport Memorial Hospital","IN","Healthcare Provider","3568","04/23/2019","Hacking/IT Incident","Email","No",""
"Doctors Management Services, Inc.","MA","Business Associate","206695","04/22/2019","Hacking/IT Incident","Network Server","Yes",""
"LISA ROSE DURSO, M.D. PLLC","NY","Healthcare Provider","537","04/22/2019","Hacking/IT Incident","Network Server","No",""
"Area Agency on Aging and Disabilities of Southwest Washington","WA","Health Plan","7000","04/22/2019","Unauthorized Access/Disclosure","Email","No",""
"EmCare, Inc.","FL","Healthcare Provider","31236","04/20/2019","Hacking/IT Incident","Email","No",""
"Bodybuilding.com LLC, operated by Vitalize, LLC (“Vitalize, LLC”)","ID","Health Plan","3193","04/19/2019","Unauthorized Access/Disclosure","Network Server","No",""
"People, Inc.","NY","Healthcare Provider","970","04/19/2019","Hacking/IT Incident","Email","No",""
"Blue Cross of Idaho Health Service, Inc.","ID","Health Plan","6045","04/19/2019","Unauthorized Access/Disclosure","Other","No",""
"Partners For Quality, Inc. ","PA","Healthcare Provider","3673","04/19/2019","Hacking/IT Incident","Email","No",""
"KIM P. KORNEGAY, DMD","AL","Healthcare Provider","27000","04/19/2019","Theft","Desktop Computer, Electronic Medical Record, Paper/Films","No",""
"AltaMed Health Services Corporation","CA","Healthcare Provider","5500","04/18/2019","Hacking/IT Incident","Network Server","Yes",""
"Pediatric Orthopedic Specialties, PA, dba ActivYouth Orthopaedics","NJ","Healthcare Provider","24176","04/18/2019","Hacking/IT Incident","Network Server","No",""
"Gary W Peer MD","CA","Healthcare Provider","3400","04/18/2019","Hacking/IT Incident","Network Server","No",""
"ELENA MARIA BURUIANA PHYSICIAN P.C.","NY","Healthcare Provider","1308","04/18/2019","Hacking/IT Incident","Network Server","No",""
"Madison Parish Hospital Service District","LA","Healthcare Provider","1436","04/18/2019","Unauthorized Access/Disclosure","Desktop Computer, Email","No",""
"Center for Sight & Hearing","IL","Healthcare Provider","5319","04/18/2019","Hacking/IT Incident","Email","No",""
"Centrelake Medical Group, Inc.","CA","Healthcare Provider","197661","04/16/2019","Hacking/IT Incident","Network Server","No",""
"Gardner Family Health Network","CA","Healthcare Provider","5064","04/16/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Delta Dental of Illinois","IL","Health Plan","5092","04/16/2019","Hacking/IT Incident","Email","No",""
"Minnesota Eye Consultants","MN","Healthcare Provider","4556","04/16/2019","Improper Disposal","Paper/Films","No",""
"National Seating & Mobility, Inc. ","TN","Healthcare Provider","3800","04/15/2019","Hacking/IT Incident","Email","No",""
"Metro Santurce, Inc. d/b/a Hospital Pavia Santurce and Metro Hato Rey, Inc. d/b/a Hospital Pavia Hato Rey","","Healthcare Provider","305737","04/13/2019","Hacking/IT Incident","Network Server","No",""
"Mid-Cities Home Medical Delivery Service, LLC","TX","Healthcare Provider","4000","04/12/2019","Loss","Paper/Films","No",""
"Harbor","OH","Healthcare Provider","2290","04/12/2019","Hacking/IT Incident","Email","No",""
"Questcare Medical Services, PLLC","TX","Healthcare Provider","5573","04/12/2019","Hacking/IT Incident","Email","No",""
"Dakota County","MN","Healthcare Provider","1026","04/12/2019","Hacking/IT Incident","Email","No",""
"Riverplace Counseling Center, Inc.","MN","Healthcare Provider","11639","04/11/2019","Hacking/IT Incident","Network Server","No",""
"Minnesota Department of Human Services","MN","Healthcare Provider","10263","04/09/2019","Hacking/IT Incident","Email","No",""
"Rehabilitation Hospital of Northwest Ohio","OH","Healthcare Provider","1143","04/08/2019","Hacking/IT Incident","Email","No",""
"Weslaco Regional Rehabilitation Hospital","TX","Healthcare Provider","1434","04/08/2019","Hacking/IT Incident","Email","No",""
"Metrocare Services","TX","Healthcare Provider","5290","04/05/2019","Hacking/IT Incident","Email","No",""
"Baystate Health","MA","Healthcare Provider","11658","04/05/2019","Hacking/IT Incident","Email","No",""
"University Hospitals Rainbow Babies & Children's Hospital","OH","Healthcare Provider","838","04/05/2019","Unauthorized Access/Disclosure","Email","No",""
"Gulf Coast Pain Consultants, LLC d/b/a Clearway Pain Solutions Institute","FL","Healthcare Provider","35000","04/05/2019","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Health Recovery Services, Inc.","OH","Healthcare Provider","20485","04/05/2019","Unauthorized Access/Disclosure","Network Server","No",""
"Klaussner Furniture Industries, Inc. Employee Benefits Plan (through its sponsor, Klaussner Furniture Industries, Inc.)","NC","Health Plan","9352","04/05/2019","Hacking/IT Incident","Network Server","No",""
"OB Pharmacy","CA","Healthcare Provider","3241","04/03/2019","Hacking/IT Incident","Desktop Computer","No",""
"Oregon Endodontic Group	","OR","Healthcare Provider","2952","04/02/2019","Hacking/IT Incident","Email","No",""
"International Rehabilitative Sciences Inc., dba RS Medical","WA","Healthcare Provider","1911","04/01/2019","Hacking/IT Incident","Email","No",""
"Regional Health Medical Clinic - Flormann Street","SD","Healthcare Provider","696","04/01/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Burrell Behavioral Health","MO","Healthcare Provider","67493","03/29/2019","Hacking/IT Incident","Network Server","Yes",""
"Palmetto Health","SC","Healthcare Provider","23811","03/29/2019","Hacking/IT Incident","Email","No",""
"Main Line Endoscopy Centers","PA","Healthcare Provider","14305","03/29/2019","Hacking/IT Incident","Email","No",""
"David E. Beneson, DPM","MI","Healthcare Provider","12542","03/29/2019","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"DePaul","NY","Healthcare Provider","902","03/27/2019","Hacking/IT Incident","Email","No",""
"Northeast Philadelphia Vascular Surgeons, P.C.","PA","Healthcare Provider","8193","03/27/2019","Hacking/IT Incident","Network Server","No",""
"Desert Valley Dental of Glendale","AZ","Healthcare Provider","7500","03/26/2019","Unauthorized Access/Disclosure","Desktop Computer, Network Server, Paper/Films","No",""
"GULFPORT ANESTHESIA SERVICES, PA","MS","Healthcare Provider","20000","03/26/2019","Theft","Other","No",""
"Superior Dental Care Alliance","OH","Business Associate","38260","03/25/2019","Hacking/IT Incident","Email","Yes",""
"Superior Dental Care","OH","Health Plan","38260","03/25/2019","Hacking/IT Incident","Email","No",""
"Mayo Clinic","MN","Healthcare Provider","1902","03/22/2019","Unauthorized Access/Disclosure","Other","No",""
"Human Development Center","MN","Healthcare Provider","1200","03/22/2019","Hacking/IT Incident","Email","No",""
"Oregon Department of Human Services","OR","Business Associate","500","03/22/2019","Hacking/IT Incident","Email","Yes",""
"Navicent Health, Inc.","GA","Healthcare Provider","278016","03/22/2019","Hacking/IT Incident","Email","No",""
"Frederick Memorial Hospitial","MD","Healthcare Provider","760","03/18/2019","Hacking/IT Incident","Email","No",""
"L.A. Care Health Plan","CA","Health Plan","1506","03/15/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Southern Hills Eye Care","IA","Healthcare Provider","11617","03/15/2019","Unauthorized Access/Disclosure","Network Server","No",""
"LCP Transportation, Inc","IN","Business Associate","54528","03/15/2019","Unauthorized Access/Disclosure","Email","Yes",""
"Arizona Health Care Cost Containment System","AZ","Health Plan","3146","03/11/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Little Rock Cancer Clinic, P.A.","AR","Healthcare Provider","3804","03/11/2019","Hacking/IT Incident","Network Server","No",""
"Equitas Health","OH","Healthcare Provider","569","03/09/2019","Hacking/IT Incident","Email","No",""
"Emerson Hospital","MA","Healthcare Provider","6314","03/08/2019","Unauthorized Access/Disclosure","Other","Yes",""
"Oklahoma Heart Hospital, LLC","OK","Healthcare Provider","1221","03/07/2019","Theft","Desktop Computer","No",""
"Direct Scripts","OH","Healthcare Provider","9319","03/06/2019","Hacking/IT Incident","Network Server","No",""
"Covenant Care California, LLC, on behalf of relevant affiliated nursing facilities ","CA","Healthcare Provider","7678","03/06/2019","Hacking/IT Incident","Email","No",""
"St. Francis Physician Services","SC","Healthcare Provider","32178","03/04/2019","Hacking/IT Incident","Network Server","No",""
"RSC Insurance Brokerage, Inc.","MA","Business Associate","2088","03/01/2019","Theft","Laptop","Yes",""
"Arthritis & Rheumatism Associates, P.C.","MD","Healthcare Provider","500","03/01/2019","Hacking/IT Incident","Electronic Medical Record","No",""
"Rush University Medical Center","IL","Healthcare Provider","44924","02/28/2019","Unauthorized Access/Disclosure","Network Server","Yes",""
"Humana Inc","KY","Health Plan","1447","02/27/2019","Hacking/IT Incident","Network Server","Yes",""
"Delaware Guidance Services for Children and Youth, Inc.","DE","Healthcare Provider","50000","02/22/2019","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Laptop","No",""
"UConn Health","CT","Healthcare Provider","326629","02/21/2019","Hacking/IT Incident","Email","No",""
"Rocky Boy Health Center","MT","Healthcare Provider","6000","02/21/2019","Theft","Other","No",""
"Rutland Hospital, Inc. d/b/a/ Rutland Regional Medical Center  ","VT","Healthcare Provider","72224","02/20/2019","Hacking/IT Incident","Email","No",""
"Henry Ford Health System","MI","Healthcare Provider","5590","02/20/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"UW Medicine","WA","Healthcare Provider","973024","02/20/2019","Hacking/IT Incident","Network Server","No",""
"Columbia Surgical Specialist of Spokane","WA","Healthcare Provider","400000","02/18/2019","Hacking/IT Incident","Network Server","No",""
"California Physicians' Service d/b/a Blue Shield of California","CA","Health Plan","18416","02/15/2019","Hacking/IT Incident","Network Server","Yes",""
"Kids Central Inc.","FL","Business Associate","3250","02/15/2019","Unauthorized Access/Disclosure","Email","Yes",""
"Portsmouth Community Health Center","VA","Healthcare Provider","12000","02/14/2019","Hacking/IT Incident","Network Server","No",""
"Rocky Mountain Health Care Services","CO","Healthcare Provider","971","02/11/2019","Hacking/IT Incident","Email","No",""
"Sharecare Health Data Services, LLC","CA","Business Associate","7300","02/11/2019","Hacking/IT Incident","Network Server","Yes",""
"Green Ridge Behavioral Health, LLC","MD","Healthcare Provider","14000","02/11/2019","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"USR Holdings, LLC","FL","Business Associate","2903","02/08/2019","Hacking/IT Incident","Network Server","Yes",""
"AZ Plastic Surgery Center ","AZ","Healthcare Provider","5524","02/08/2019","Hacking/IT Incident","Network Server","No",""
"AdventHealth Medical Group","FL","Healthcare Provider","42161","02/05/2019","Hacking/IT Incident","Network Server","No",""
"United Hospital District, Inc.","MN","Healthcare Provider","2143","02/04/2019","Hacking/IT Incident","Email","No",""
"Lakeland Care, Inc.","WI","Healthcare Provider","1300","02/04/2019","Hacking/IT Incident","Email","No",""
"Rainbow Dental Care PLLC","TX","Healthcare Provider","10000","02/04/2019","Hacking/IT Incident","Desktop Computer","No",""
"Anesthesia Associates of Kansas City","KS","Healthcare Provider","3472","02/01/2019","Theft","Paper/Films","No",""
"Reproductive Medicine and Infertility Associates, P.A.","MN","Healthcare Provider","40000","02/01/2019","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"CVS Pharmacy","RI","Healthcare Provider","5645","01/30/2019","Theft","Paper/Films","Yes",""
"Cambridge Healthcare Services, LLC","CA","Business Associate","10866","01/29/2019","Theft","Laptop","Yes",""
"Schroder's I.T., Inc.","OH","Business Associate","85874","01/29/2019","Hacking/IT Incident","Network Server","Yes",""
"Pawnee County Memorial Hospital","NE","Healthcare Provider","7038","01/28/2019","Hacking/IT Incident","Email","No",""
"Dr. DeLuca Dr. Marciano & Associates, P.C. ","CT","Healthcare Provider","23578","01/25/2019","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"Valley Professionals Community Health Center","IN","Healthcare Provider","12029","01/25/2019","Hacking/IT Incident","Email","No",""
"HealthFitness","IL","Business Associate","1808","01/25/2019","Unauthorized Access/Disclosure","Other","Yes",""
"Sunflower State Health Plan","KS","Health Plan","1625","01/25/2019","Unauthorized Access/Disclosure","Other","No",""
"Unum Group, on behalf of its subsidiaries - Unum Life Insurance and Colonial Life & Accident Insurance","TN","Health Plan","532","01/24/2019","Hacking/IT Incident","Email","No",""
"Youssef M Aoun DPM PLLC","MI","Healthcare Provider","700","01/24/2019","Theft","Desktop Computer, Other, Paper/Films","No",""
"Stonehaven Dental","TX","Healthcare Provider","6289","01/22/2019","Theft","Network Server","No",""
"Critical Care, Pulmonary and Sleep Associates, PLLP","CO","Healthcare Provider","23377","01/21/2019","Hacking/IT Incident","Email","No",""
"Valley Hope Association","KS","Healthcare Provider","70799","01/18/2019","Hacking/IT Incident","Email","No",""
"Tri-Cities Chaplaincy","WA","Healthcare Provider","1086","01/18/2019","Hacking/IT Incident","Email","No",""
"Integrity, Inc. d/b/a Integrity House","NJ","Healthcare Provider","7206","01/18/2019","Theft","Desktop Computer, Laptop","No",""
"Las Colinas Orthopedic Surgery & Sports Medicine, PA","TX","Healthcare Provider","76000","01/18/2019","Theft","Other Portable Electronic Device","Yes",""
"Sacred Heart Rehabilitation Center","MI","Healthcare Provider","2266","01/10/2019","Unauthorized Access/Disclosure","Email","No",""
"Family Physicians of Winter Park, Inc. ","KY","Healthcare Provider","8429","01/08/2019","Hacking/IT Incident","Email","No",""
"Dermacare Brickell","FL","Healthcare Provider","1800","01/07/2019","Improper Disposal","Paper/Films","No",""
"Managed Health Services","IN","Health Plan","31300","01/03/2019","Hacking/IT Incident","Email","Yes",""
"Managed Health Services","IN","Health Plan","576","01/03/2019","Unauthorized Access/Disclosure","Paper/Films","No",""
"Centerstone Insurance and Financial Services (d/b/a BenefitMall)","TX","Business Associate","111589","01/03/2019","Hacking/IT Incident","Email","Yes",""
"Choice Rehabilitation","MO","Business Associate","4309","12/29/2018","Hacking/IT Incident","Email, Laptop","Yes",""
"Wolverine Solutions Group","MI","Business Associate","48471","12/28/2018","Hacking/IT Incident","Desktop Computer, Network Server","Yes",""
"WEA Insurance Corporation","WI","Health Plan","850","12/27/2018","Hacking/IT Incident","Email","No",""
"Kent County Community Mental Health Authority","MI","Healthcare Provider","2284","12/21/2018","Hacking/IT Incident","Email","No",""
"JAND Inc. d/b/a Warby Parker ","NY","Healthcare Provider","177890","12/20/2018","Hacking/IT Incident","Network Server","No",""
"The Podiatric Offices of Bobby Yee","CA","Healthcare Provider","24000","12/20/2018","Hacking/IT Incident","Desktop Computer, Laptop, Other Portable Electronic Device","No",""
"Dermatologists of Southwest Ohio","OH","Healthcare Provider","733","12/20/2018","Improper Disposal","Paper/Films","No",""
"Virtual Radiologic Professionals, LLC","MN","Healthcare Provider","2568","12/19/2018","Hacking/IT Incident","Other","Yes",""
"Barnes-Jewish Hospital","MO","Healthcare Provider","1643","12/18/2018","Hacking/IT Incident","Network Server","No",""
"University of Vermont Health Network - Elizabethtown Community Hospital","NY","Healthcare Provider","32470","12/17/2018","Hacking/IT Incident","Email","No",""
"Fort Defiance Indian Hospital","AZ","Healthcare Provider","1000","12/17/2018","Hacking/IT Incident","Desktop Computer","No",""
"Ben-Ora, Hansen & Vanesian Imaging, Ltd d/b/a Solis Mammography","AZ","Healthcare Provider","500","12/16/2018","Theft","Desktop Computer","No",""
"Smile Designs by Sandwick ","MN","Healthcare Provider","900","12/13/2018","Hacking/IT Incident","Other","No",""
"Adams County","WI","Healthcare Provider","258120","12/11/2018","Unauthorized Access/Disclosure","Network Server, Other","No",""
"Ramsey County","MN","Healthcare Provider","599","12/11/2018","Hacking/IT Incident","Email","No",""
"Leon A Cohen MM.,PA","FL","Healthcare Provider","2122","12/08/2018","Improper Disposal","Paper/Films","No",""
"Butler County Board of County Commissioners","OH","Health Plan","1912","12/04/2018","Unauthorized Access/Disclosure","Email","No",""
"Georgia Department of Human Services","GA","Business Associate","435339","11/30/2018","Unauthorized Access/Disclosure","Network Server, Other Portable Electronic Device","Yes",""
"Mind and Motion, LLC","GA","Healthcare Provider","16000","11/30/2018","Hacking/IT Incident","Network Server","No",""
"CCRM Dallas-Fort Worth","TX","Healthcare Provider","1117","11/30/2018","Hacking/IT Incident","Email","No",""
"Cancer Treatment Centers of America (CTCA) at Western Regional Medical Center","AZ","Healthcare Provider","41948","11/26/2018","Hacking/IT Incident","Email","No",""
"Mercy Medical Center- North Iowa","IA","Healthcare Provider","1971","11/26/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"East End Disability Associates, Inc.","NY","Healthcare Provider","896","11/20/2018","Hacking/IT Incident","Email","No",""
"Episcopal Health Services","NY","Healthcare Provider","218055","11/19/2018","Hacking/IT Incident","Email","No",""
"Valley Health System","VA","Business Associate","857","11/19/2018","Hacking/IT Incident","Electronic Medical Record","Yes",""
"James R. Etzkorn, MD","MO","Healthcare Provider","6845","11/19/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"HealthEquity, Inc.","UT","Business Associate","165800","11/17/2018","Hacking/IT Incident","Email","Yes",""
"Texas VSI, LLC","TX","Business Associate","500","11/16/2018","Hacking/IT Incident","Network Server","Yes",""
"New York Oncology Hematology, P.C.","NY","Healthcare Provider","128400","11/16/2018","Hacking/IT Incident","Email","No",""
"Center for Vitreo-Retinal Diseases","IL","Healthcare Provider","20371","11/16/2018","Unauthorized Access/Disclosure","Network Server","No",""
"Georgia Spine & Orthopaedics of Atlanta, LLC","GA","Healthcare Provider","7012","11/16/2018","Hacking/IT Incident","Email","No",""
"American Medical Response, Inc.","TX","Healthcare Provider","912","11/09/2018","Hacking/IT Incident","Email","Yes",""
"SUNY Upstate Medical University","NY","Healthcare Provider","1216","11/09/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Utah Healing Center","UT","Healthcare Provider","543","11/07/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"FHN Family Counseling Center","IL","Healthcare Provider","4458","11/03/2018","Theft","Laptop","No",""
"Oprex Surgery (Baytown), L.P. d/b/a Altus Baytown Hospital","TX","Healthcare Provider","40000","11/02/2018","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Inova Health System","VA","Healthcare Provider","12331","11/02/2018","Theft","Electronic Medical Record, Paper/Films","No",""
"Dallas County Mental Health Mental Retardation Center dba Metrocare Services","TX","Healthcare Provider","1804","11/01/2018","Hacking/IT Incident","Email","No",""
"HealthFitness","IL","Business Associate","614","10/28/2018","Unauthorized Access/Disclosure","Other","Yes",""
"CNO Financial Group, Inc.","IN","Health Plan","566217","10/25/2018","Unauthorized Access/Disclosure","Other","No",""
"CJ Elmwood Partners, L.P.","IA","Healthcare Provider","22416","10/22/2018","Hacking/IT Incident","Network Server","No",""
"Jones Eye Center, P.C.","IA","Healthcare Provider","39605","10/22/2018","Hacking/IT Incident","Network Server","No",""
"HealthFitness","IL","Business Associate","550","10/15/2018","Unauthorized Access/Disclosure","Other","Yes",""
"HealthFitness","IL","Business Associate","1332","10/15/2018","Unauthorized Access/Disclosure","Other","Yes",""
"Employees Retirement System of Texas","TX","Health Plan","1248263","10/15/2018","Unauthorized Access/Disclosure","Other","No",""
"FirstCare Health Plans","TX","Health Plan","8056","10/12/2018","Unauthorized Access/Disclosure","Email","No",""
"Indiana University School of Medicine","IN","Healthcare Provider","1431","10/11/2018","Theft","Paper/Films","No",""
"Minnesota Department of Human Services","MN","Health Plan","20800","10/09/2018","Hacking/IT Incident","Email","No",""
"Dr. Robert Carpenter","TX","Healthcare Provider","3000","10/07/2018","Hacking/IT Incident","Network Server","No",""
"Dr. Amy Woodruff","TX","Healthcare Provider","10862","10/07/2018","Hacking/IT Incident","Network Server","No",""
"National Ambulatory Hernia Institute","CA","Healthcare Provider","15974","10/05/2018","Hacking/IT Incident","Network Server","No",""
"Tillamook Chiropractic, PC","OR","Healthcare Provider","4058","10/03/2018","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Reichert Prosthetics & Orthotics, LLC","WI","Healthcare Provider","3380","09/28/2018","Theft","Other Portable Electronic Device","Yes",""
"Toyota Industries North America, Inc. as plan sponsor to the Toyota Industries North America, Inc. Welfare Benefit Plan","IN","Health Plan","19320","09/28/2018","Hacking/IT Incident","Email","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","3624","09/28/2018","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"J&J MEDICAL SERVICE NETWORK INC","TX","Business Associate","2500","09/25/2018","Hacking/IT Incident","Network Server","Yes",""
"Ransom Memorial Hospital ","KS","Healthcare Provider","14329","09/25/2018","Hacking/IT Incident","Email","No",""
"Personal Assistance Services of Colorado, LLC","CO","Healthcare Provider","1839","09/20/2018","Hacking/IT Incident","Email","No",""
"Pulse Systems, Inc.","KS","Business Associate","722","09/19/2018","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"The University of Texas Health Science Center at Houston","TX","Healthcare Provider","500","09/18/2018","Theft","Paper/Films","No",""
"Total Diagnostix II, LLC","TX","Healthcare Provider","855","09/12/2018","Unauthorized Access/Disclosure","Network Server","No",""
"Ohio Living","OH","Healthcare Provider","6510","09/07/2018","Hacking/IT Incident","Email","No",""
